bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
BA Stokes,14,11,370,246,0,3,0,0,0,0,275,9.02439024390244,0,0,0,0,0,0,0,19.857142857142858
NR Sciver,7,5,186,120,0,0,0,0,0,1,125,9.3,0,0,0,0,0,0,12,19.571428571428573
DL Chahar,11,8,382,241,0,0,0,0,0,1,200,9.510373443983402,0,0,0,0,0,0,12,19.272727272727273
BMAJ Mendis,4,3,60,42,2,0,0,0,0,0,75,8.571428571428571,0,0,0,0,0,0,0,19.25
KW Richardson,10,7,339,211,0,1,4,0,0,1,175,9.639810426540285,0,0,0,0,0,0,12,19.2
Washington Sundar,8,6,243,150,1,2,0,0,0,0,150,9.72,0,0,0,0,0,0,0,19.125
KA Jamieson,4,3,141,90,0,1,0,0,0,0,75,9.4,0,0,0,0,0,0,0,19.0
AM Fernando,1,1,51,24,0,0,0,0,0,0,25,12.75,0,0,0,0,0,-6,0,19.0
Afif Hossain,1,1,26,12,0,0,0,0,0,0,25,13.0,0,0,0,0,0,-6,0,19.0
Umran Malik,1,1,56,24,0,0,0,0,0,0,25,14.0,0,0,0,0,0,-6,0,19.0
KP Pietersen,1,1,27,12,0,0,0,0,0,0,25,13.5,0,0,0,0,0,-6,0,19.0
I Sharma,4,3,150,96,0,1,0,0,0,0,75,9.375,0,0,0,0,0,0,0,19.0
DR Tuffey,1,1,50,24,0,0,0,0,0,0,25,12.5,0,0,0,0,0,-6,0,19.0
JM Watkin,1,1,40,18,0,0,0,0,0,0,25,13.333333333333334,0,0,0,0,0,-6,0,19.0
M Zondeki,1,1,41,18,0,0,0,0,0,0,25,13.666666666666666,0,0,0,0,0,-6,0,19.0
RE van der Merwe,4,3,99,66,0,1,0,0,0,0,75,9.0,0,0,0,0,0,0,0,19.0
Mahedi Hasan,4,3,123,74,0,1,0,0,0,0,75,9.972972972972972,0,0,0,0,0,0,0,19.0
JT Ball,1,1,39,18,0,0,0,0,0,0,25,13.0,0,0,0,0,0,-6,0,19.0
MD Shanaka,8,6,127,89,0,0,0,0,0,0,150,8.561797752808989,0,0,0,0,0,0,0,18.75
A Gardner,4,3,83,60,0,0,0,0,0,0,75,8.3,0,0,0,0,0,0,0,18.75
AC Jayangani,4,3,147,84,0,1,0,0,0,0,75,10.5,0,0,0,-2,0,0,0,18.5
DJ Mitchell,4,3,86,50,0,1,0,0,0,0,75,10.32,0,0,0,-2,0,0,0,18.5
FH Edwards,7,5,172,110,0,1,0,0,0,0,125,9.381818181818183,0,0,0,0,0,0,0,18.0
TS Mills,4,3,148,78,0,0,0,0,0,0,75,11.384615384615383,0,0,0,0,-4,0,0,17.75
K Pierre,4,3,141,72,0,0,0,0,0,0,75,11.75,0,0,0,0,-4,0,0,17.75
CH Gayle,6,4,73,80,0,2,0,0,0,0,100,5.475,0,4,0,0,0,0,0,17.666666666666668
Mohammad Irfan,3,2,77,66,0,1,0,0,0,0,50,7.0,0,0,2,0,0,0,0,17.666666666666668
SR Patel,3,2,43,42,0,1,0,0,0,0,50,6.142857142857142,0,0,2,0,0,0,0,17.666666666666668
Taskin Ahmed,7,5,241,138,0,0,0,0,0,0,125,10.478260869565217,0,0,0,-2,0,0,0,17.571428571428573
LL Tsotsobe,3,2,59,54,0,0,0,0,0,0,50,6.555555555555555,0,0,2,0,0,0,0,17.333333333333332
DJ Bravo,19,13,591,370,1,2,0,0,0,0,325,9.583783783783783,0,0,0,0,0,0,0,17.263157894736842
MM Ali,25,17,548,330,1,4,0,0,0,0,425,9.963636363636365,0,0,0,0,0,0,0,17.2
R Rampaul,6,4,206,119,0,1,4,0,0,0,100,10.38655462184874,0,0,0,-2,0,0,0,17.166666666666668
TAM Siriwardana,3,2,59,36,0,1,0,0,0,0,50,9.833333333333332,0,0,0,0,0,0,0,17.0
CJ Boyce,3,2,70,48,0,1,0,0,0,0,50,8.75,0,0,0,0,0,0,0,17.0
JDF Vandersay,3,2,99,66,0,1,0,0,0,0,50,9.0,0,0,0,0,0,0,0,17.0
DC Drakes,6,4,198,120,0,1,0,0,0,0,100,9.899999999999999,0,0,0,0,0,0,0,16.833333333333332
JO Holder,15,10,595,348,0,0,4,0,0,0,250,10.258620689655173,0,0,0,-2,0,0,0,16.8
AJ Hosein,9,6,223,180,0,1,0,0,0,0,150,7.433333333333334,0,0,0,0,0,0,0,16.77777777777778
M Morkel,3,2,94,72,0,0,0,0,0,0,50,7.833333333333334,0,0,0,0,0,0,0,16.666666666666668
Anam Amin,3,2,88,72,0,0,0,0,0,0,50,7.333333333333334,0,0,0,0,0,0,0,16.666666666666668
