striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
AD Mathews,14,281,233,14,19,9,12,8,0,120.6008583690987,281,19,18,-28,0,0,0,0,0,0,22.142857142857142
Sharmin Akhter,1,21,27,1,3,0,0,0,0,77.77777777777779,21,3,0,-2,0,0,0,0,0,0,22.0
SN Thakur,1,20,15,1,2,0,0,0,0,133.33333333333331,20,2,0,-2,0,0,2,0,0,0,22.0
NJ Astle,1,19,13,1,1,1,0,0,0,146.15384615384613,19,1,2,-2,0,0,2,0,0,0,22.0
CE McConchie,1,17,10,1,3,0,0,0,0,170.0,17,3,0,-2,0,4,0,0,0,0,22.0
GJ Hopkins,1,18,13,1,0,2,0,0,0,138.46153846153845,18,0,4,-2,0,0,2,0,0,0,22.0
HH Gibbs,3,57,44,3,4,3,4,0,0,129.54545454545453,57,4,6,-6,0,0,0,0,0,0,21.666666666666668
KD Karthik,9,165,104,9,20,6,4,8,0,158.65384615384613,165,20,12,-18,0,4,0,0,0,0,21.666666666666668
TWM Latham,4,75,69,4,3,2,4,8,0,108.69565217391303,75,3,4,-8,0,0,0,0,0,0,21.5
Naeem Islam,2,38,26,2,1,3,0,0,0,146.15384615384613,38,1,6,-4,0,0,2,0,0,0,21.5
MM Ali,14,259,201,14,23,9,20,8,0,128.85572139303483,259,23,18,-28,0,0,0,0,0,0,21.428571428571427
Kamran Akmal,9,167,140,9,20,3,8,8,0,119.28571428571428,167,20,6,-18,0,0,0,0,0,0,21.22222222222222
AL Watkins,1,20,17,1,3,0,0,0,0,117.64705882352942,20,3,0,-2,0,0,0,0,0,0,21.0
Rony Talukdar,1,21,22,1,0,1,0,0,0,95.45454545454545,21,0,2,-2,0,0,0,0,0,0,21.0
Aliya Riaz,2,36,20,2,4,1,4,0,0,180.0,36,4,2,-4,6,0,0,0,0,-6,21.0
