bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
DG Nalkande,1,2,37,18,0,0,0,0,0,0,50,12.333333333333332,0,0,0,0,0,-6,0,44.0
JL Pattinson,6,10,192,135,1,1,0,0,0,1,250,8.533333333333333,0,0,0,0,0,0,12,44.0
AC Thomas,3,5,67,60,0,0,4,0,0,0,125,6.7,0,0,2,0,0,0,0,43.666666666666664
K Rabada,24,40,890,574,1,7,8,16,0,0,1000,9.303135888501743,0,0,0,0,0,0,0,43.0
AC Gilchrist,1,1,0,1,0,0,0,0,0,1,25,0.0,6,0,0,0,0,0,12,43.0
MF Maharoof,6,10,194,132,1,2,4,0,0,0,250,8.818181818181818,0,0,0,0,0,0,0,42.833333333333336
Yash Thakur,5,8,183,119,0,0,4,8,0,0,200,9.226890756302522,0,0,0,0,0,0,0,42.4
MR Marsh,7,11,235,138,1,0,0,8,0,1,275,10.217391304347826,0,0,0,-2,0,0,12,42.0
JR Hazlewood,10,16,354,228,1,1,8,8,0,0,400,9.31578947368421,0,0,0,0,0,0,0,41.8
NLTC Perera,5,8,198,114,0,3,8,0,0,0,200,10.421052631578949,0,0,0,-2,0,0,0,41.8
YS Chahal,52,82,1621,1163,9,14,24,32,16,0,2050,8.362854686156492,0,0,0,0,0,0,0,41.25
KK Ahmed,13,20,442,288,1,0,12,0,0,1,500,9.208333333333334,0,0,0,0,0,0,12,40.38461538461539
Imran Tahir,13,20,437,312,3,6,8,8,0,0,500,8.403846153846153,0,0,0,0,0,0,0,40.38461538461539
Shahid Afridi,2,3,46,30,0,1,4,0,0,0,75,9.200000000000001,0,0,0,0,0,0,0,40.0
L Balaji,14,21,492,312,0,3,4,8,16,0,525,9.461538461538462,0,0,0,0,0,0,0,39.714285714285715
GD McGrath,4,6,132,96,0,0,0,8,0,0,150,8.25,0,0,0,0,0,0,0,39.5
NT Ellis,6,9,215,138,0,2,0,8,0,0,225,9.347826086956522,0,0,0,0,0,0,0,39.166666666666664
S Aravind,16,24,496,325,1,6,0,16,0,0,600,9.156923076923077,0,0,0,0,0,0,0,38.9375
Suyash Sharma,6,9,195,144,1,3,4,0,0,0,225,8.125,0,0,0,0,0,0,0,38.833333333333336
A Zampa,6,9,207,132,1,1,4,0,0,0,225,9.409090909090908,0,0,0,0,0,0,0,38.5
A Singh,6,9,202,143,0,2,4,0,0,0,225,8.475524475524475,0,0,0,0,0,0,0,38.5
S Randiv,2,3,56,48,0,0,0,0,0,0,75,7.0,0,0,2,0,0,0,0,38.5
CH Morris,25,37,786,552,1,9,8,16,0,0,925,8.543478260869566,0,0,0,0,0,0,0,38.36
PWH de Silva,12,17,372,258,3,3,0,0,16,1,425,8.651162790697674,0,0,0,0,0,0,12,38.25
Arshdeep Singh,22,32,748,485,1,5,8,8,16,0,800,9.253608247422681,0,0,0,0,0,0,0,38.09090909090909
Azhar Mahmood,4,6,146,90,1,1,0,0,0,0,150,9.733333333333334,0,0,0,0,0,0,0,38.0
Gurkeerat Singh,2,3,44,36,0,1,0,0,0,0,75,7.333333333333334,0,0,0,0,0,0,0,38.0
CRD Fernando,4,6,120,96,0,2,0,0,0,0,150,7.5,0,0,0,0,0,0,0,38.0
AA Chavan,2,3,69,42,0,1,0,0,0,0,75,9.857142857142858,0,0,0,0,0,0,0,38.0
KA Jamieson,2,3,72,36,0,1,4,0,0,0,75,12.0,0,0,0,0,-4,0,0,38.0
JJ Bumrah,35,50,1056,822,1,17,20,16,0,2,1250,7.708029197080291,0,0,0,0,0,0,24,37.94285714285714
MJ McClenaghan,19,28,639,414,0,4,12,0,0,0,700,9.26086956521739,0,0,0,0,0,0,0,37.68421052631579
BE Hendricks,2,3,75,48,0,0,0,0,0,0,75,9.375,0,0,0,0,0,0,0,37.5
RJ Harris,8,11,277,186,1,4,8,0,0,1,275,8.935483870967742,0,0,0,0,0,0,12,37.5
KK Cooper,6,8,210,138,0,2,0,8,0,1,200,9.130434782608695,0,0,0,0,0,0,12,37.0
S Narwal,2,3,77,36,0,1,4,0,0,0,75,12.833333333333332,0,0,0,0,0,-6,0,37.0
Mukesh Choudhary,5,7,183,105,0,2,0,8,0,0,175,10.457142857142857,0,0,0,-2,0,0,0,36.6
B Laughlin,2,3,84,48,0,0,0,0,0,0,75,10.5,0,0,0,-2,0,0,0,36.5
JA Richardson,2,3,96,48,0,2,0,0,0,0,75,12.0,0,0,0,0,-4,0,0,36.5
DT Christian,7,10,199,144,0,3,0,0,0,0,250,8.291666666666666,0,0,0,0,0,0,0,36.142857142857146
TU Deshpande,10,14,421,234,1,0,8,0,0,0,350,10.794871794871796,0,0,0,-2,0,0,0,35.7
Rashid Khan,32,43,927,762,10,11,24,8,0,1,1075,7.299212598425197,0,0,0,0,0,0,12,35.625
C Sakariya,8,11,300,186,0,0,8,0,0,0,275,9.677419354838708,0,0,0,0,0,0,0,35.375
PJ Sangwan,11,15,369,246,0,4,8,0,0,0,375,9.0,0,0,0,0,0,0,0,35.18181818181818
MM Sharma,36,48,1261,782,0,8,8,16,16,0,1200,9.675191815856778,0,0,0,0,0,0,0,34.666666666666664
OF Smith,3,4,117,60,0,0,0,8,0,0,100,11.7,0,0,0,0,-4,0,0,34.666666666666664
SE Bond,3,4,84,72,1,0,0,0,0,0,100,7.0,0,0,2,0,0,0,0,34.333333333333336
A Nehra,22,29,716,499,2,7,8,8,0,0,725,8.609218436873748,0,0,0,0,0,0,0,34.09090909090909
Shivam Sharma,3,4,101,66,0,2,0,0,0,0,100,9.181818181818182,0,0,0,0,0,0,0,34.0
SK Warne,12,16,394,258,1,0,4,0,0,0,400,9.162790697674419,0,0,0,0,0,0,0,33.75
HF Gurney,3,4,120,72,1,0,0,0,0,0,100,10.0,0,0,0,0,0,0,0,33.666666666666664
M Pathirana,6,8,215,144,1,1,0,0,0,0,200,8.958333333333334,0,0,0,0,0,0,0,33.666666666666664
A Nortje,13,17,474,312,0,4,8,0,0,0,425,9.115384615384615,0,0,0,0,0,0,0,33.61538461538461
CV Varun,19,24,624,424,0,8,4,8,16,0,600,8.830188679245282,0,0,0,0,0,0,0,33.473684210526315
VY Mahesh,3,4,118,72,0,0,0,0,0,0,100,9.833333333333332,0,0,0,0,0,0,0,33.333333333333336
KP Appanna,4,5,93,78,0,0,0,8,0,0,125,7.153846153846153,0,0,0,0,0,0,0,33.25
TA Boult,33,40,1183,773,4,4,4,0,0,7,1000,9.182406209573092,0,0,0,0,0,0,84,33.21212121212121
M Theekshana,10,12,312,240,3,4,0,8,0,1,300,7.800000000000001,0,0,0,0,0,0,12,32.7
I Udana,3,4,104,60,0,0,0,0,0,0,100,10.4,0,0,0,-2,0,0,0,32.666666666666664
MA Starc,9,11,278,210,0,8,0,8,0,0,275,7.942857142857143,0,0,0,0,0,0,0,32.333333333333336
L Ngidi,4,5,172,96,1,0,4,0,0,0,125,10.75,0,0,0,-2,0,0,0,32.0
SL Malinga,28,33,847,638,5,13,12,0,0,3,825,7.965517241379311,0,0,0,0,0,0,36,31.821428571428573
Mohammad Nabi,5,6,125,90,0,1,0,8,0,0,150,8.333333333333332,0,0,0,0,0,0,0,31.8
CR Brathwaite,4,5,123,72,0,0,4,0,0,0,125,10.25,0,0,0,-2,0,0,0,31.75
BW Hilfenhaus,4,5,123,90,0,2,0,0,0,0,125,8.2,0,0,0,0,0,0,0,31.75
Umran Malik,11,13,391,204,0,6,4,0,16,0,325,11.5,0,0,0,0,-4,0,0,31.545454545454547
DJ Bravo,40,49,1189,794,1,5,16,0,0,1,1225,8.984886649874054,0,0,0,0,0,0,12,31.475
JC Archer,16,19,514,379,1,3,12,0,0,1,475,8.137203166226913,0,0,0,0,0,0,12,31.4375
A Symonds,4,5,135,77,1,1,0,0,0,0,125,10.51948051948052,0,0,0,-2,0,0,0,31.25
AB Agarkar,9,11,329,210,0,2,4,0,0,0,275,9.4,0,0,0,0,0,0,0,31.22222222222222
DJ Muthuswami,1,1,7,12,0,0,0,0,0,0,25,3.5,6,0,0,0,0,0,0,31.0
NB Singh,1,1,7,12,0,0,0,0,0,0,25,3.5,6,0,0,0,0,0,0,31.0
A Mishra,46,54,1363,966,0,6,16,8,16,2,1350,8.46583850931677,0,0,0,0,0,0,24,30.869565217391305
SN Thakur,24,28,811,477,2,1,8,0,0,2,700,10.20125786163522,0,0,0,-2,0,0,24,30.541666666666668
MM Patel,12,14,391,274,0,3,4,8,0,0,350,8.562043795620438,0,0,0,0,0,0,0,30.416666666666668
HV Patel,37,44,1283,811,2,5,8,8,0,0,1100,9.491985203452527,0,0,0,0,0,0,0,30.35135135135135
LR Shukla,6,7,95,67,1,2,4,0,0,0,175,8.507462686567164,0,0,0,0,0,0,0,30.333333333333332
Mohammed Shami,39,45,1362,870,2,7,16,8,0,0,1125,9.393103448275863,0,0,0,0,0,0,0,29.692307692307693
Yash Dayal,6,7,249,144,0,0,4,0,0,0,175,10.375,0,0,0,-2,0,0,0,29.5
Vijaykumar Vyshak,5,6,204,102,0,1,0,0,0,0,150,12.0,0,0,0,0,-4,0,0,29.4
Noor Ahmad,7,8,227,155,0,1,4,0,0,0,200,8.787096774193548,0,0,0,0,0,0,0,29.285714285714285
